SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015
040,42,000,00000,00000,00000,0,A,Pennsylvania,Pennsylvania,12702379,12702887,12712014,12745202,12772789,12783536,12793767,12802503
162,42,000,00116,00000,00000,0,A,Abbottstown borough,Pennsylvania,1011,1011,1011,1013,1010,1011,1014,1020
162,42,000,00332,00000,00000,0,A,Adamsburg borough,Pennsylvania,172,172,172,171,171,170,169,169
162,42,000,00364,00000,00000,0,A,Adamstown borough,Pennsylvania,1789,1789,1802,1834,1836,1836,1839,1840
162,42,000,00396,00000,00000,0,A,Addison borough,Pennsylvania,207,207,207,206,205,204,202,201
162,42,000,00540,00000,00000,0,A,Akron borough,Pennsylvania,3876,3883,3888,3902,3919,3927,3982,3993
162,42,000,00572,00000,00000,0,A,Alba borough,Pennsylvania,157,157,157,158,157,156,154,153
162,42,000,00628,00000,00000,0,A,Albion borough,Pennsylvania,1516,1516,1516,1508,1501,1491,1478,1468
162,42,000,00660,00000,00000,0,A,Alburtis borough,Pennsylvania,2361,2361,2363,2377,2382,2380,2405,2519
162,42,000,00676,00000,00000,0,A,Aldan borough,Pennsylvania,4152,4152,4152,4146,4156,4160,4166,4165
162,42,000,00756,00000,00000,0,A,Alexandria borough,Pennsylvania,346,346,346,343,340,336,333,330
162,42,000,00820,00000,00000,0,A,Aliquippa city,Pennsylvania,9438,9438,9436,9385,9355,9313,9243,9197
162,42,000,00988,00000,00000,0,A,Allenport borough,Pennsylvania,537,537,537,534,535,534,531,527
162,42,000,02000,00000,00000,0,A,Allentown city,Pennsylvania,118032,118161,118191,118877,119052,118919,119268,120207
162,42,000,02184,00000,00000,0,A,Altoona city,Pennsylvania,46320,46321,46287,46233,46102,45807,45574,45344
162,42,000,02264,00000,00000,0,A,Ambler borough,Pennsylvania,6417,6417,6444,6491,6502,6509,6507,6505
162,42,000,02288,00000,00000,0,A,Ambridge borough,Pennsylvania,7050,7050,7048,7008,6982,6948,6894,6859
162,42,000,02720,00000,00000,0,A,Apollo borough,Pennsylvania,1647,1647,1643,1635,1626,1617,1605,1588
162,42,000,02752,00000,00000,0,A,Applewold borough,Pennsylvania,310,310,310,307,305,302,299,295
162,42,000,02832,00000,00000,0,A,Archbald borough,Pennsylvania,6984,6984,7005,7056,7073,7077,7075,6960
162,42,000,02928,00000,00000,0,A,Arendtsville borough,Pennsylvania,952,952,952,954,951,952,955,961
162,42,000,03032,00000,00000,0,A,Armagh borough,Pennsylvania,122,122,122,121,121,120,119,118
162,42,000,03088,00000,00000,0,A,Arnold city,Pennsylvania,5157,5157,5152,5122,5092,5062,5021,4988
162,42,000,03120,00000,00000,0,A,Arona borough,Pennsylvania,370,370,370,367,363,360,356,352
162,42,000,03264,00000,00000,0,A,Ashland borough,Pennsylvania,2817,2817,2814,2802,2789,2773,2757,2734
162,42,000,03272,00000,00000,0,A,Ashley borough,Pennsylvania,2790,2790,2788,2781,2779,2760,2744,2726
162,42,000,03296,00000,00000,0,A,Ashville borough,Pennsylvania,227,227,227,225,224,223,221,219
162,42,000,03320,00000,00000,0,A,Aspinwall borough,Pennsylvania,2801,2801,2800,2799,2800,2796,2783,2763
162,42,000,03384,00000,00000,0,A,Atglen borough,Pennsylvania,1406,1406,1407,1409,1410,1410,1411,1408
162,42,000,03392,00000,00000,0,A,Athens borough,Pennsylvania,3367,3367,3364,3377,3360,3323,3282,3255
162,42,000,03480,00000,00000,0,A,Atwood borough,Pennsylvania,107,107,107,107,106,106,105,105
162,42,000,03488,00000,00000,0,A,Auburn borough,Pennsylvania,741,738,738,734,730,726,724,722
162,42,000,03576,00000,00000,0,A,Austin borough,Pennsylvania,562,564,564,565,569,564,555,550
162,42,000,03608,00000,00000,0,A,Avalon borough,Pennsylvania,4705,4705,4704,4702,4701,4694,4674,4642
162,42,000,03632,00000,00000,0,A,Avis borough,Pennsylvania,1484,1484,1484,1496,1514,1520,1515,1508
162,42,000,03640,00000,00000,0,A,Avoca borough,Pennsylvania,2661,2661,2662,2666,2667,2652,2656,2661
162,42,000,03656,00000,00000,0,A,Avondale borough,Pennsylvania,1265,1265,1273,1317,1389,1404,1403,1399
162,42,000,03688,00000,00000,0,A,Avonmore borough,Pennsylvania,1011,1011,1011,1006,1000,995,988,982
162,42,000,03736,00000,00000,0,A,Baden borough,Pennsylvania,4135,4135,4135,4114,4102,4085,4056,4037
162,42,000,03928,00000,00000,0,A,Baldwin borough,Pennsylvania,19767,19765,19774,19798,19830,19830,19768,19819
162,42,000,03984,00000,00000,0,A,Bally borough,Pennsylvania,1090,1090,1091,1100,1103,1103,1101,1103
162,42,000,04032,00000,00000,0,A,Bangor borough,Pennsylvania,5273,5273,5272,5252,5247,5232,5226,5203
162,42,000,04136,00000,00000,0,A,Barkeyville borough,Pennsylvania,207,207,207,206,207,206,205,203
162,42,000,04432,00000,00000,0,A,Bath borough,Pennsylvania,2693,2693,2695,2687,2686,2679,2676,2667
162,42,000,04568,00000,00000,0,A,Beallsville borough,Pennsylvania,466,466,466,463,461,457,453,450
162,42,000,04599,00000,00000,0,A,Bear Creek Village borough,Pennsylvania,257,257,257,257,258,257,256,259
162,42,000,04608,00000,00000,0,A,Bear Lake borough,Pennsylvania,164,164,164,163,162,161,161,160
162,42,000,04688,00000,00000,0,A,Beaver borough,Pennsylvania,4531,4531,4529,4504,4487,4467,4440,4420
162,42,000,04792,00000,00000,0,A,Beaver Falls city,Pennsylvania,8987,8987,8985,8823,8851,8800,8702,8661
162,42,000,04816,00000,00000,0,A,Beaver Meadows borough,Pennsylvania,869,869,868,864,860,855,850,842
162,42,000,04848,00000,00000,0,A,Beavertown borough,Pennsylvania,965,965,965,959,961,962,971,973
162,42,000,04896,00000,00000,0,A,Bechtelsville borough,Pennsylvania,942,942,943,942,942,944,942,941
162,42,000,04944,00000,00000,0,A,Bedford borough,Pennsylvania,2841,2841,2835,2813,2798,2780,2767,2742
162,42,000,04984,00000,00000,0,A,Beech Creek borough,Pennsylvania,701,701,701,705,704,707,703,700
162,42,000,05216,00000,00000,0,A,Bell Acres borough,Pennsylvania,1388,1390,1391,1399,1407,1406,1403,1395
162,42,000,05256,00000,00000,0,A,Bellefonte borough,Pennsylvania,6187,6187,6192,6254,6342,6271,6253,6248
162,42,000,05288,00000,00000,0,A,Belle Vernon borough,Pennsylvania,1093,1093,1092,1088,1083,1078,1075,1073
162,42,000,05312,00000,00000,0,A,Bellevue borough,Pennsylvania,8370,8370,8368,8364,8360,8349,8310,8252
162,42,000,05384,00000,00000,0,A,Bellwood borough,Pennsylvania,1828,1824,1822,1818,1813,1802,1795,1786
162,42,000,05504,00000,00000,0,A,Ben Avon borough,Pennsylvania,1781,1781,1780,1779,1779,1783,1789,1777
